Nom;Pharmacien;contacts;localisation
Pharmacie  Ste Anne;Dr Abole Sopie Ange Brigitte;+225 20 22 69 00 / +225 20 22 74 02;1 rue lecoeur plateau face ambassade de france
Pharmacie  Ste Aude;Dr Kouassi Konan Raphael;+225 23 52 28 87 / +225 07 03 8018 / +225 05 55 84 62;yopougon banco ii entre carrefour siporex et rue denommer e nouveau goudrou
Pharmacie  Ste Beatrice Des Rosiers;Dr Cowppli-Bony;+225 22 47 01 72;carrefour palmeraie - sci les rosiers face quick market
Pharmacie  Ste Cecile;Dr Brou  Anne;+225 22 42 63 35;face eglise ste cecile terminus bus 35 gobelet
Pharmacie  Ste Croix;Dr Deroux Bouho Victor;+225 24 39 36 73;abobo camp commando pres clinique medicale de l’etoile route b.c.
Pharmacie  Ste Famille;Dr  Diakite Serie Marie Cecile;+225 22 47 76 76;riviera iii allabra - par le bd mitterrand- 100 m de l'eglise ste famille
Pharmacie  Ste Foi;Dr Soumahoro Amara;+225 21 56 17 40;koumassi terminus bus 05 - face lycee municipal
Pharmacie  Ste Harmony;Dr  Kouassi N. Beatrice;+225 22 52 39 97;quartier djibi - voie principale - 400 m apres terminus bus 82 – 81 - pres du super marche discount
Pharmacie  Ste Jeanne;Dr Mangoua Regina;+225 21 24 57 41;entree marche de belleville - face station petro ivoire
Pharmacie  Ste Marie;Dr Logon Marie Antoinette;+225 23 45 24 24;yopougon andokoua - face pont pieton - a cote de la station total
Pharmacie  Ste Marie;Dr  Kattie Ebagnitchie  Laurence;+225 22 48 69 20;cocody bd france - immeuble biao a cote de la maison du pdci rda
Pharmacie  Ste Marie Des Beatitudes;Dr  Lamine Lachiroy;+225 22 49 11 49 / 50;riviera palmeraie - sci les rosiers 1er programme  en face de la barriere 6
Pharmacie  Ste Marie D’Adjame;Dr Digbohou Stephane;+225 20 37 54 44 / +225 20 37 54 46;centre commercial de la poste 03 - rue harriste cote parking payant  derriere commissariat du 3eme arrondissement d’adjame
Pharmacie  Ste Marie-Majeure;Dr Aka Lyne Wayou;+225 21 25 54 07;marcory zone 4c - rue du canal - face immeuble les elfes
Pharmacie  Ste Monique;Dr Kra Koffi Raoul;+225 22 42 01 09;rue  angre – plateau dokui - 700 m du bd latrille
Pharmacie  Ste Odile;Dr Niamke Olivier;+225 24 39 29 97 / 00 89;arret de bus plateau dokui- route du zoo- 150 m apres clinique l'amitie a l'interieur  du quartier plateau-dokui
Pharmacie  Ste Rita;Dr Sie. Goboh Chrisanette;+225 23 45 28 77;yopougon gare (sable) - trois caféiers
Pharmacie  Ste Rita De Cascia;Dr Guidy E. Cynthia Epse Creahi;+225 23 45 50 79 / +225 57 64 44 69;yopougon niangon nord non loin de l’eglise ste rita de cascia
Pharmacie  Ste Ruth;Dr Kabore Bouboutou Linda;+225 21 35 35 15;centre commercial prima
Pharmacie  Ste Therese;Dr Ayepa Georges;+225 21 26 77 10;avenue t.s.f
Pharmacie  Ste Trinite;Dr Nguessan Daniel;+225 22 41 68 88;carrefour bd latrille - route de williamsville - pres super marche prix choc - ligne bus 49
Pharmacie  Tehoua;Dr  Coulibaly Mouniratou;+225 24 39 13 13;autoroute d'anyama - 500 m apres gendarmerie d'abobo sur la droite
Pharmacie  Tereza;Dr Masumbuko Oumou;+225 23 01 20 00 / +225 08 05 06 85 / +225 65 22 04 48;yopougon sogefiha «  magasin »  - route niangon
Pharmacie  Tiacoh;Dr Tiacoh Julie;+225 21 26 28 15;carrefour autoroute & bd du gabon angle - rue pierre & marie curie
Pharmacie  Tima;Dr Coulibaly Yessoro Daniel Patrice;+225 09 86 16 83 / +225 47 50 84 84;face au lycee moderne d’abobo i & ii (lma) allignement biao gd marche
Pharmacie  Tizra;Dr Zamble Orphee Jean Michel;+225 23 50 04 47;yopougon toit rouge - rue groupe scolaire offoumou yapo - immeuble ancien bazar
Pharmacie  Toits Rouges;Dr Lasme Hermance;+225 23 45 16 93 / +225 01 62 35 59;
Pharmacie  Tsacoe;Dr Seka Aho Joel Richard;+225 24 39 15 02;2eme rond point autoroute abobo gare pres du college st joseph
Pharmacie  Tsf;Dr Ahoussou Vincent;+225 21 26 78 12;avenue tsf marcory -  face commissariat du 9ème arrondissement
Pharmacie  Valors;Dr Orsot B. Valentin;+225 23 51 80 41;yopougon face nouveau marche de port bouet ii
Pharmacie  Vridi Palm-Beach;Dr Tuan Yah Kanga Liliane Ep. Aka;+225 21 27 52 04 / +225 22 47 34 45 / +225 58 03 58 00;vridi bd petit-bassam-sir - carrefour vridi cite
Pharmacie  Vridi-Sir;Dr Degna Nicole;+225 21 27 02 60;pres epp lagune - cite sogefiha vridi - bd lagune ebrie
Pharmacie  Vridi-Village;Dr Koffi Emmanuel;+225 21 27 58 60;vridi canal - zone du rond point terminus bus 19 - non loin de la sir
Pharmacie  Wakouboue;Dr Ahipo Babo Gilles;+225 23 45 31 89 / +225 02 75 99 15;angle rue du marche sicogi face au lavage
Pharmacie  Wassakara;Dr Gauly Marie Claire;+225 57 49 23 01;yopougon wassakara (rue princesse) pres du carrefour cite sib
Pharmacie  Wharf Sarl;Dr Seka Attey M'Boya Armelle;+225 21 27 71 31 / 87 81;quartier derriere wharf route gd bassam - pres depot 8 de la sotra
Pharmacie  Yarapha;Dr Ackra Noel;+225 24 49 12 63 -12 60;abobo carrefour akeikoi -  derriere la cite universitaire
Pharmacie  Zahara;Dr Diallo Fatoumata;+225 20 32 20 28;rue du commerce cote peyrissac
Pharmacie Abobo Belleville;Dr Beugre Guy Claver;+225 24 39 91 84  / 91 96;abobo baoule - route d’alepe - au quartier belleville
Pharmacie Afia;Dr Ganmavo Epse Kahoa Y. Danielle;+225 07 46 12 50;quartier millionnaire pres du lycée de jeunes filles
Pharmacie Anoumabo;Dr Mockey Edouard;+225 21 26 02 07;face epp-anoumabo 1er arret bus 03 & 31
Pharmacie Babakan;Dr Babakan Kouakou;+225  07 09 27 45 / +225 21 28 94 57 - 45;koumassi campement - apres commissariat du 20ème arrdt. – face mosquee sangare
Pharmacie Beraca;Dr Konan Mensah Josette;+225 07 77 01 20 / +225 07 69 66 76;yopougon camp militaire petit toit rouge carrefour chapouli
Pharmacie Bethanie;Ebrottie Aney Frederic;+225 21 36 62 83;koumassi sicogi bia sud - route menant du camp commando a la zone industriellezone du petit marche sicogi a cote de la station vinko
Pharmacie Bethesda;Dr Lako Dago Gervais;+225 02 50 15 17 / +225 48 55 22 70;yopougon ananeraie entre la coopec & le college guicharolain
Pharmacie Celia;Dr Ouattara Soungalo Antoine;+225 23 45 62 34;yopougon banco ii - sur la route de dabou - carrefour lycée technique - bus n° 34 – 39
Pharmacie De L’Autoroute (Grande Pharmacie);Dr Taqui Cynthia;+225 23 52 61 75 - 58 46 / +225 01 05 26 77;yopougon gesco terminus bus 34 - entre carrefour siporexet carrefour nouveau goudrou - route du chu
Pharmacie Du Phare;Dr N'Guessan Boa Anima Francoise;+225 21 27 73 73;avenue des caraïbes pres du phare - terminus bus 12
Pharmacie D’Attinguie;Dr N'Gbeche Rosine Julie Joëlle;+225 23 47 43 30;
Pharmacie Ebathe;Dr Able Delphine;+225 21 56 77 15;avenue de la cote d’ivoire - non loin de la pmi de marcory
Pharmacie Ehile;Dr Ehile Roger;+225 21 36 45 44;bd du caire koumassi pres du gd marche - ligne bus 13
Pharmacie Fandasso;Dr  Sidibe Ahoure Marthe;+225 41 17 13 09;angre cite fandasso
Pharmacie Gbede;Dr Ozoukou Zega Frederic;+225 58 09 47 03;face dispensaire d’adjame - non loin du commissariat du 3eme arrondissement et du gd marche
Pharmacie La Maison Blanche;Dr Kone Aminata Epse Camara;+225 23 51 47 46 / +225 01 03 59 59;yopougon port bouet ii - maison blanche
Pharmacie Lagoma;Dr Gbato Wakell Francis;+225 23 52 70 70 / +225 07 05 57 93;yopougon carrefour academie - face cite cnps
Pharmacie Laoulo;Dr Koffi Kouame Raphael;+225 09 81 14 59 / +225 23 46 59 00;yopougon nouveau quartier - voie express face nouveau bureau sodeci
Pharmacie Leila;Dr Kone Makan;+225 21 26 72 94;marcory anoumanbo - alliodan (sans fil) - non loin de l’atci & de l’institut froebela 150 m du carrefour dje bi dje - bus n° 03 & 31
Pharmacie Mamy Adjoua;Dr Soumahoro Rockya Fatou;+225 225 23 51 37 78 / +225 67 59 96 46 / +225 58 17 62 26;yopougon non loin de la cite mamie adjoua
Pharmacie Nandy;Dr Nehouan Serge Pacôme;+225 23 45 51 12 / +225 01 20 56 62;yopougon carrefour koute par eglise st laurent entre terminus 40 et la cnps
Pharmacie Nouvelle St Laurent;Dr Kacou Edmond;+225 23 50 48 79 / +225 07 81 63 71;yopougon camp militaire - gare gbakas - 200 m terminus sotra - bus 37
Pharmacie Peniel;Dr Koffi Emissah Christine;+225 23 45 42 82 / +225 09 75 82 07;yopougon ananeraie rond point gesco
Pharmacie Regina;Dr  Coulibaly Dodo Regine;+225 21 36 68 65;koumasi sogefiha - 2 eme arret bus ligne 32 - non loin du garage akwaba
Pharmacie Shalom;Dr Biny Claude William;+225 23 53 08 73 / +225 05 67 75 90;yopougon sogefiha  pont vagabond non loin du terminus du bus 47
Pharmacie St Christophe;Dr Kadjo A.  Angele;+225 22 42 55 62 / +225 05 01 21 20;angre bd latrille - star 5 carrefour petro ivoire  route d’abobo
Pharmacie St Georges;Dr Lokrou Martial;+225 21 36 03 75 - 76;koumassi sicogi pres du camp commando
Pharmacie St Georges D’Akouedo;Dr Konate Niagna;+225 22 47 22 38;riviera iii apres barrage - tout droit autoroute de bingerville quartier genie 2000 1er carrefour
Pharmacie St Hermann;Dr Agbassi N’Soua Hippolyte;+225 23 50 72 77 / +225 03 38 74 91;base cie - entree face station petro ivoire
Pharmacie St Sauveur;Dr Kouame Didier Konan;+225 24 48 47 41;abobo quartier clouetcha carrefour ancienne boulagerie non loin du marche de clouetcha
Pharmacie Ste Marthe;Dr Zadi Agoh Marthe;+22522 42 33 87 / +225 07 77 20 00 / +225 07 73 99 78;angre bd latrille carrefour station petro ivoire - terminus bus 81& 82
Pharmacie Theodora;Dr Williams Ahoussi Enou;+225 23 46 09 00 / +225 08 98 71 44 / +225 40 30 71 72 - 72 09;yopougon niangon sud - carrefour a droite – intersection - ligne bus 27 & 39
Pharmacie William Ponty;Dr Sotty Koffi Gervais;+225 03 67 05 02;yopougon sicogi face college william ponty
Pharmacie Zeulayet;Dr Kouame Yapo Victor;+225 23 45 20 39 / +225 08 11 82 11;yopougon quartier maroc - face a la mosquee
